filename,plate,confidence,status
T1_142840_YB779____Unknown.jpg,YB779,0.95,ok
T1_143059_ZB192____Unknown.jpg,ZB192,0.99,ok
T1_143138_YN082____Unknown.jpg,YNG82,0.98,ok
T1_143236_RN513____Unknown.jpg,RN513,1.00,ok
T1_143544_ZAA951B____Unknown.jpg,2AA,0.68,ok
T1_143554_ZY034____Unknown.jpg,ZY034,0.99,ok
T1_143604_UZ770____Unknown.jpg,UZ770,0.99,ok
T1_143828_ZH410____Unknown.jpg,ZH410,0.99,ok
T1_143847_AA196A____Unknown.jpg,AA196A,1.00,ok
T1_143952_LJ947____Unknown.jpg,LJ947,0.98,ok
T1_144137_VC463____Unknown.jpg,VC463,1.00,ok
T1_144155_ZU297____Unknown.jpg,ZU297,0.92,ok
T1_144216_AA441F____Unknown.jpg,AA441F,0.98,ok
T1_144230_PE145____Unknown.jpg,PE145,1.00,ok
T1_144405_ZY034____Unknown.jpg,ZY034,0.99,ok
T1_144433_PU721____Unknown.jpg,PU721,0.97,ok
T1_144548_SA316____Unknown.jpg,SA316,0.99,ok
T1_145016_JA469____Unknown.jpg,AA694,0.97,ok
T1_145538_AA133J____Unknown.jpg,78,0.44,ok
T1_145838_ZC322____Unknown.jpg,ZC322,1.00,ok
T1_145946_HH185____Unknown.jpg,HH185,0.99,ok
T1_150025_VH794____Unknown.jpg,VH794,1.00,ok
T1_150047_RV002____Unknown.jpg,RV002,0.99,ok
T1_150243_AA025G____Unknown.jpg,AA025G,0.95,ok
T1_150351_LJ947____Unknown.jpg,LJ947,0.91,ok
T1_150534_RC307____Unknown.jpg,RC307,0.99,ok
T1_150542_AA469U____Unknown.jpg,AA4690,0.93,ok
T1_150608_ZAB596E____Unknown.jpg,STAB,0.84,ok
T1_150706_KD497____Unknown.jpg,KD497,0.99,ok
T1_150856_SD556____Unknown.jpg,SD556,0.96,ok
T1_151008_PA809____Unknown.jpg,PA809,1.00,ok
T1_151303_RK464____Unknown.jpg,RK464,0.80,ok
T1_151451_UP247____Unknown.jpg,UP247,0.99,ok
T1_151501_ZUG227____Unknown.jpg,ZUG227,1.00,ok
T1_152224_UG292____Unknown.jpg,UG292,1.00,ok
T1_152234_SB966____Unknown.jpg,SB966,0.99,ok
T1_152719_AA501F____Unknown.jpg,AA501F,1.00,ok
T1_152946_ZP181____Unknown.jpg,ZP181,1.00,ok
T1_153029_NM191____Unknown.jpg,NM191,1.00,ok
T1_153044_GC816____Unknown.jpg,GC816,1.00,ok
T1_154657_PE430____Unknown.jpg,PE430,1.00,ok
T1_154723_GC816____Unknown.jpg,GC816,1.00,ok
T1_155045_ZB015____Unknown.jpg,ZB015,0.99,ok
T1_155759_ZY034____Unknown.jpg,ZY034,0.99,ok
T1_160003_PAK306____Unknown.jpg,PAX306,0.99,ok
T1_160059_AA894G____Unknown.jpg,AA8946,0.94,ok
T1_160125_UK630____Unknown.jpg,UK630,0.94,ok
T1_160243_SK960____Unknown.jpg,SK960,1.00,ok
T1_160319_UE561____Unknown.jpg,UE561,1.00,ok
T1_160343_TEE147____Unknown.jpg,TEE147,0.97,ok
T1_160506_MP113____Unknown.jpg,MP113,1.00,ok
